año,mes,nombre departamento,código departamento,nombre municipio,código municipio,precio promedio por litro
2013,3,antioquia,05,sonson,05756,876.1738076255174
2013,3,antioquia,05,valdivia,05854,832.0595773498411
2013,3,antioquia,05,yarumal,05887,844.6204468861087
2013,3,atlantico,08,candelaria,08141,810.5720208415037
2013,3,atlantico,08,juan de acosta,08372,763.969910961007
2013,3,atlantico,08,manati,08436,832.7869918699187
2013,3,atlantico,08,ponedera,08560,793.3220870761164
2013,3,atlantico,08,sabanalarga,08638,935.9618967274772
2013,3,bolivar,13,arjona,13052,959.7945118059987
2013,3,bolivar,13,calamar,13140,791.8896186142515
2013,3,bolivar,13,el carmen de bolivar,13244,899.7329246935201
2013,3,bolivar,13,el guamo,13248,938.6032953105197
2013,3,bolivar,13,magangue,13430,937.6615720524018
2013,3,bolivar,13,mahates,13433,1002.3228002793296
2013,3,bolivar,13,maria la baja,13442,986.1556529201861
2013,3,bolivar,13,san estanislao,13647,959.9045884023961
2013,3,bolivar,13,san juan nepomuceno,13657,1025.5378226196847
2013,3,boyaca,15,belen,15087,821.1796484267837
2013,3,boyaca,15,chiquinquira,15176,872.8818076820564
2013,3,boyaca,15,duitama,15238,909.4092834053074
2013,3,boyaca,15,firavitoba,15272,808.6519500552394
2013,3,boyaca,15,moniquira,15469,792.5168368755176
2013,3,boyaca,15,paipa,15516,816.9105382018201
2013,3,boyaca,15,raquira,15600,831.6369933299128
2013,3,boyaca,15,saboya,15632,915.2245888574947
2013,3,boyaca,15,san miguel de sema,15676,940.3551025562926
2013,3,boyaca,15,sogamoso,15759,863.9701456833242
2013,3,boyaca,15,sotaquira,15763,913.5110052961469
2013,3,boyaca,15,tibasosa,15806,842.2114617652159
2013,3,boyaca,15,toca,15814,878.5929806434948
2013,3,boyaca,15,tunja,15001,877.4719354455915
2013,3,boyaca,15,ventaquemada,15861,822.3638756374404
2013,3,caldas,17,manizales,17001,886.4049169046764
2013,3,caldas,17,salamina,17653,766.4550766510705
2013,3,caldas,17,villamaria,17873,879.5066648097148
2013,3,casanare,85,aguazul,85010,718.5162822252374
2013,3,casanare,85,monterrey,85162,687.7284112840307
2013,3,casanare,85,nunchia,85225,484.96434231378765
2013,3,casanare,85,tauramena,85410,753.9129164231443
2013,3,casanare,85,yopal,85001,753.2086751320373
2013,3,cauca,19,patia,19532,703.0706836616454
2013,3,cauca,19,popayan,19001,933.5285639649053
2013,3,cauca,19,silvia,19743,874.4895282593549
2013,3,cauca,19,timbio,19807,848.9372453652528
2013,3,cesar,20,aguachica,20011,849.5888486912108
2013,3,cesar,20,agustin codazzi,20013,903.7179356677525
2013,3,cesar,20,bosconia,20060,778.6069847515986
2013,3,cesar,20,chimichagua,20175,804.98899486427
2013,3,cesar,20,chiriguana,20178,877.5204836415363
2013,3,cesar,20,el copey,20238,854.5063901615625
2013,3,cesar,20,la gloria,20383,832.0987485779294
2013,3,cesar,20,la paz,20621,823.034653062332
2013,3,cesar,20,san alberto,20710,843.0167372454124
2013,3,cesar,20,san diego,20750,874.9089853848994
2013,3,cesar,20,san martin,20770,833.8808018359796
2013,3,cesar,20,valledupar,20001,871.9324879956296
2013,3,cundinamarca,25,cajica,25126,973.8281452967371
2013,3,cundinamarca,25,chia,25175,952.232090423199
2013,3,cundinamarca,25,cogua,25200,856.8488076450991
2013,3,cundinamarca,25,cota,25214,976.4088690855082
2013,3,cundinamarca,25,el rosal,25260,858.3466533466534
2013,3,cundinamarca,25,facatativa,25269,937.0698194145889
2013,3,cundinamarca,25,funza,25286,879.4309215373693
2013,3,cundinamarca,25,fuquene,25288,901.6345622253906
2013,3,cundinamarca,25,gachancipa,25295,901.4578804347826
2013,3,cundinamarca,25,guacheta,25317,881.6488774618324
2013,3,cundinamarca,25,guasca,25322,877.810430746126
2013,3,cundinamarca,25,la calera,25377,895.5053104127888
2013,3,cundinamarca,25,madrid,25430,843.866687480487
2013,3,cundinamarca,25,mosquera,25473,914.1225331369661
2013,3,cundinamarca,25,sibate,25740,926.1050209926957
2013,3,cundinamarca,25,simijaca,25745,933.2205516293286
2013,3,cundinamarca,25,sopo,25758,847.3031026252984
2013,3,cundinamarca,25,subachoque,25769,915.4587412587413
2013,3,cundinamarca,25,susa,25779,879.6328176320022
2013,3,cundinamarca,25,tabio,25785,890.3241563055062
2013,3,cundinamarca,25,tenjo,25799,877.8143972246314
2013,3,cundinamarca,25,tocancipa,25817,1003.5371316141996
2013,3,cundinamarca,25,villa de san diego de ubate,25843,952.9371143417609
2013,3,cundinamarca,25,villapinzon,25873,832.5904900956656
2013,3,cundinamarca,25,zipaquira,25899,957.6676055023937
2013,3,cordoba,23,ayapel,23068,880.1419272222815
2013,3,cordoba,23,buenavista,23079,722.5873015873016
2013,3,cordoba,23,cerete,23162,851.984496124031
2013,3,cordoba,23,chinu,23182,821.6253196357275
2013,3,cordoba,23,cienaga de oro,23189,823.1033891524261
2013,3,cordoba,23,lorica,23417,780.3157034615956
2013,3,cordoba,23,montelibano,23466,823.540607664276
2013,3,cordoba,23,monteria,23001,749.1632266359884
2013,3,cordoba,23,planeta rica,23555,797.2476846354785
2013,3,cordoba,23,pueblo nuevo,23570,696.9733607195095
2013,3,cordoba,23,sahagun,23660,718.3314503254329
2013,3,cordoba,23,san pelayo,23686,817.7603290334642
2013,3,huila,41,aipe,41016,773.1776395464053
2013,3,huila,41,la plata,41396,842.3324892204504
2013,3,huila,41,neiva,41001,795.6044511886697
2013,3,huila,41,palermo,41524,796.021508318739
2013,3,huila,41,pitalito,41551,828.5020845741512
2013,3,la guajira,44,san juan del cesar,44650,882.069255236152
2013,3,magdalena,47,ariguani,47058,809.2516015825456
2013,3,magdalena,47,chibolo,47170,882.2035807684571
2013,3,magdalena,47,el pinon,47258,780.5263157894736
2013,3,magdalena,47,nueva granada,47460,833.2932692307693
2013,3,magdalena,47,pijino del carmen,47545,800.4045307443366
2013,3,magdalena,47,pivijay,47551,813.3123329216627
2013,3,magdalena,47,plato,47555,841.4417887432537
2013,3,magdalena,47,sabanas de san angel,47660,879.9021914077009
2013,3,meta,50,acacias,50006,752.5850695578342
2013,3,meta,50,castilla la nueva,50150,801.1271765212576
2013,3,meta,50,cumaral,50226,791.6268333734071
2013,3,meta,50,granada,50313,838.4482472171456
2013,3,meta,50,guamal,50318,804.423962573668
2013,3,meta,50,puerto lopez,50573,886.6753606344431
